,YEAR,SEX,AGE_GROUP,deaths,rate
400,1989,Females,10–14,2.0,0.3
401,1989,Females,15–19,3.0,0.4
402,1989,Females,20–24,5.0,0.8
403,1989,Females,25–29,5.0,0.7
404,1989,Females,30–34,4.0,0.6
405,1989,Females,35–39,0.0,0.0
406,1989,Females,40–44,2.0,0.3
407,1989,Females,45–49,2.0,0.4
408,1989,Females,50–54,4.0,1.0
409,1989,Females,55–59,2.0,0.6
410,1989,Females,60–64,2.0,0.5
411,1989,Females,65–69,1.0,0.3
412,1989,Females,70–74,4.0,1.5
413,1989,Females,75–79,1.0,0.5
414,1989,Females,80–84,6.0,4.5
415,1989,Females,85+,2.0,1.9
416,1989,Females,Missing,0.0,
417,1990,Males,0–4,57.0,8.8
418,1990,Males,5–9,10.0,1.5
419,1990,Males,10–14,8.0,1.3
420,1990,Males,15–19,11.0,1.5
421,1990,Males,20–24,18.0,2.6
422,1990,Males,25–29,23.0,3.2
423,1990,Males,30–34,20.0,2.9
424,1990,Males,35–39,19.0,2.9
425,1990,Males,40–44,13.0,2.0
426,1990,Males,45–49,7.0,1.4
427,1990,Males,50–54,8.0,1.9
428,1990,Males,55–59,5.0,1.4
429,1990,Males,60–64,10.0,2.7
430,1990,Males,65–69,6.0,1.9
431,1990,Males,70–74,3.0,1.4
432,1990,Males,75–79,4.0,2.6
433,1990,Males,80–84,4.0,5.0
434,1990,Males,85+,0.0,0.0
435,1990,Males,Missing,1.0,
436,1990,Females,0–4,34.0,5.5
437,1990,Females,5–9,2.0,0.3
438,1990,Females,10–14,3.0,0.5
439,1990,Females,15–19,3.0,0.4
440,1990,Females,20–24,1.0,0.1
441,1990,Females,25–29,7.0,1.0
442,1990,Females,30–34,1.0,0.1
443,1990,Females,35–39,2.0,0.3
444,1990,Females,40–44,0.0,0.0
445,1990,Females,45–49,1.0,0.2
446,1990,Females,50–54,1.0,0.2
447,1990,Females,55–59,4.0,1.1
448,1990,Females,60–64,1.0,0.3
449,1990,Females,65–69,3.0,0.9
450,1990,Females,70–74,3.0,1.1
451,1990,Females,75–79,4.0,1.8
452,1990,Females,80–84,3.0,2.2
453,1990,Females,85+,0.0,0.0
454,1990,Females,Missing,0.0,
455,1991,Males,0–4,34.0,5.2
456,1991,Males,5–9,12.0,1.8
457,1991,Males,10–14,9.0,1.4
458,1991,Males,15–19,14.0,2.0
459,1991,Males,20–24,18.0,2.5
460,1991,Males,25–29,15.0,2.1
461,1991,Males,30–34,20.0,2.8
462,1991,Males,35–39,15.0,2.3
463,1991,Males,40–44,11.0,1.7
464,1991,Males,45–49,14.0,2.7
465,1991,Males,50–54,9.0,2.1
466,1991,Males,55–59,11.0,3.0
467,1991,Males,60–64,12.0,3.3
468,1991,Males,65–69,4.0,1.2
469,1991,Males,70–74,7.0,3.1
470,1991,Males,75–79,0.0,0.0
471,1991,Males,80–84,3.0,3.6
472,1991,Males,85+,1.0,2.3
473,1991,Males,Missing,0.0,
474,1991,Females,0–4,20.0,3.2
475,1991,Females,5–9,5.0,0.8
476,1991,Females,10–14,1.0,0.2
477,1991,Females,15–19,2.0,0.3
478,1991,Females,20–24,5.0,0.7
479,1991,Females,25–29,2.0,0.3
480,1991,Females,30–34,1.0,0.1
481,1991,Females,35–39,1.0,0.2
482,1991,Females,40–44,2.0,0.3
483,1991,Females,45–49,1.0,0.2
484,1991,Females,50–54,2.0,0.5
485,1991,Females,55–59,3.0,0.8
486,1991,Females,60–64,4.0,1.1
487,1991,Females,65–69,4.0,1.1
488,1991,Females,70–74,1.0,0.4
489,1991,Females,75–79,1.0,0.4
490,1991,Females,80–84,1.0,0.7
491,1991,Females,85+,4.0,3.6
492,1991,Females,Missing,0.0,
493,1992,Males,0–4,50.0,7.6
494,1992,Males,5–9,9.0,1.4
495,1992,Males,10–14,5.0,0.8
496,1992,Males,15–19,21.0,3.1
497,1992,Males,20–24,21.0,2.9
498,1992,Males,25–29,15.0,2.2
499,1992,Males,30–34,13.0,1.8
500,1992,Males,35–39,10.0,1.5
501,1992,Males,40–44,17.0,2.6
502,1992,Males,45–49,12.0,2.1
503,1992,Males,50–54,10.0,2.2
504,1992,Males,55–59,6.0,1.6
505,1992,Males,60–64,5.0,1.4
506,1992,Males,65–69,8.0,2.5
507,1992,Males,70–74,6.0,2.5
508,1992,Males,75–79,4.0,2.5
509,1992,Males,80–84,1.0,1.1
510,1992,Males,85+,2.0,4.2
511,1992,Males,Missing,1.0,
512,1992,Females,0–4,26.0,4.2
513,1992,Females,5–9,4.0,0.6
514,1992,Females,10–14,1.0,0.2
515,1992,Females,15–19,2.0,0.3
516,1992,Females,20–24,5.0,0.7
517,1992,Females,25–29,5.0,0.7
518,1992,Females,30–34,3.0,0.4
519,1992,Females,35–39,7.0,1.0
520,1992,Females,40–44,2.0,0.3
521,1992,Females,45–49,1.0,0.2
522,1992,Females,50–54,3.0,0.7
523,1992,Females,55–59,3.0,0.8
524,1992,Females,60–64,4.0,1.1
525,1992,Females,65–69,4.0,1.1
